value,count
Clean School Bus Rebate Program,5649
Clean School Bus Grant Program,2748
California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),1367
VW Settlement,749
School Bus Replacement Program,228
RGGI,187
Rural School Bus Pilot Project,143
Community Air Protection Incentive Project,127
Grant,127
ACT School Bus Program,116
Carl Moyer Program,99
Diesel Emissions Reduction Act (DERA),81
Diesel Emissions Reduction Act (DERA) grant,71
Electric School Bus Program,61
American Rescue Plan,51
West Virginia GreenPower Launch All-Electric Pilot Project reimbursement,43
Operating budget,39
Electric School Bus Grant Program,36
Sacramento Regional Zero-Emission School Bus Deployment Project,34
ALT Fuels Colorado,32
Airshed Grant,30
Clean Mobility in Schools Pilot Project,28
Lower-Emission School Bus Program,28
Air Quality Clean Diesel Electric School Bus Grant Program,27
Colorado Electric School Bus Grant Program,27
Diesel Emissions Reduction Act (DERA) rebate,25
Oregon Clean Fuels Program,23
2021 American Rescue Plan Electric School Bus Rebate,22
Clean Transportation Program,20
ESSER II,20
Alternative Fuel Incentive Grant,18
District budget,17
Fleet electrification planning grant,17
Power Your Drive fleet program,17
Bond,15
New York Truck Voucher Incentive Program,15
Sacramento Emergency Clean Air Transportation Program,15
Electric School Bus Fund,12
American Electric Power Settlement,10
EV Fleet Program,9
Fiat Chrysler Automobiles and Bosch settlement,6
California Climate Investments,5
Clean Fuels Incentive Program,5
Community Emission Reduction Programs,5
Community Facilities Grant,5
Lower-Emission School Bus Replacement & Retrofit Program,5
Air Quality Improvement Program,4
Clean Energy and Pollution Reduction Act,4
Driving a Cleaner Illinois grant program,4
Electric School Bus Incentive Program,4
Give away,4
Low Carbon Fuel Standard,4
Utah Clean Diesel Program,4
Zero Emission School Bus Program,4
Zero-Emission School Bus Replacement Incentive Program,4
Clean Mobility Options,3
Driving PA Forward - Truck and Bus Fleet Program,3
Transportation Modernization Grant,3
Clean Diesel Electric School Bus Grant Program,2
Colorado state grant,2
Congestion Mitigation and Air Quality Improvement (CMAQ) Program,2
Conservation Research and Development grant,2
Donation,2
Edwards Power Plant settlement,2
Fresno County,2
Levy,2
MOVER grant,2
Measure C,2
Alternative Fuels Bond Fund,1
Anonymous donor,1
Cherokee Boys Club,1
ESSER III,1
Electric mobility grant program,1
Monterey Bay Air Resources District,1
Small School Bus Replacement Program,1
State Energy Program,1
State reimbursement,1
The Health Trust,1
TransAlta's Centralia Coal Transition grant,1
Up & Go Electric pilot program,1
